From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Subcellular location [CC]	Gene Ontology (cellular component)
A0A024RBE9	A0A024RBE9	unreviewed	A0A024RBE9_HUMAN	Synaptotagmin	SYT1 hCG_2016754	Homo sapiens (Human)	422	SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle, chromaffin granule membrane {ECO:0000256|ARBA:ARBA00004349}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004349}. Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000256|ARBA:ARBA00004254, ECO:0000256|RuleBase:RU367154}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004254, ECO:0000256|RuleBase:RU367154}. Membrane {ECO:0000256|ARBA:ARBA00004167}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.	axon [GO:0030424]; chromaffin granule membrane [GO:0042584]; dense core granule [GO:0031045]; excitatory synapse [GO:0060076]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; hippocampal mossy fiber to CA3 synapse [GO:0098686]; neuron projection terminus [GO:0044306]; presynaptic membrane [GO:0042734]; synaptic vesicle membrane [GO:0030672]
Q9Y6A5	Q9Y6A5	reviewed	TACC3_HUMAN	Transforming acidic coiled-coil-containing protein 3 (ERIC-1)	TACC3 ERIC1	Homo sapiens (Human)	838	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:17545617}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:17545617, ECO:0000269|PubMed:21297582, ECO:0000269|PubMed:23918938}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000250|UniProtKB:Q9PTG8}. Note=In complex with CKAP5 localized to microtubule plus-ends in mitosis and interphase. In complex with CKAP5 and clathrin localized to inter-microtubule bridges in mitotic spindles. {ECO:0000269|PubMed:25596274}.	centriolar satellite [GO:0034451]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; mitotic spindle [GO:0072686]; spindle pole [GO:0000922]
A8K899	A8K899	unreviewed	A8K899_HUMAN	Transcriptional adapter 3 (ADA3 homolog) (Transcriptional adapter 3-like)		Homo sapiens (Human)	432	SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123}.	nucleus [GO:0005634]
Q13428	Q13428	reviewed	TCOF_HUMAN	Treacle protein (Treacher Collins syndrome protein)	TCOF1	Homo sapiens (Human)	1488	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12777385}.	cytosol [GO:0005829]; fibrillar center [GO:0001650]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]
P01137	P01137	reviewed	TGFB1_HUMAN	Transforming growth factor beta-1 proprotein [Cleaved into: Latency-associated peptide (LAP); Transforming growth factor beta-1 (TGF-beta-1)]	TGFB1 TGFB	Homo sapiens (Human)	390	SUBCELLULAR LOCATION: [Latency-associated peptide]: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:17827158}.; SUBCELLULAR LOCATION: [Transforming growth factor beta-1]: Secreted {ECO:0000269|PubMed:17827158, ECO:0000269|PubMed:29483653}.	blood microparticle [GO:0072562]; cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi lumen [GO:0005796]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; platelet alpha granule lumen [GO:0031093]; transforming growth factor beta complex [GO:0099126]; transforming growth factor beta ligand-receptor complex [GO:0070021]
P21980	P21980	reviewed	TGM2_HUMAN	Protein-glutamine gamma-glutamyltransferase 2 (EC 2.3.2.13) (Erythrocyte transglutaminase) (Heart G alpha(h)) (hhG alpha(h)) (Isopeptidase TGM2) (EC 3.4.-.-) (Protein G alpha(h)) (G(h)) (Protein-glutamine deamidase TGM2) (EC 3.5.1.44) (Protein-glutamine dopaminyltransferase TGM2) (EC 2.3.1.-) (Protein-glutamine histaminyltransferase TGM2) (EC 2.3.1.-) (Protein-glutamine noradrenalinyltransferase TGM2) (EC 2.3.1.-) (Protein-glutamine serotonyltransferase TGM2) (EC 2.3.1.-) (Tissue transglutaminase) (tTG) (tTgase) (Transglutaminase C) (TG(C)) (TGC) (TGase C) (Transglutaminase H) (TGase H) (Transglutaminase II) (TGase II) (Transglutaminase-2) (TG2) (TGase-2) (hTG2)	TGM2	Homo sapiens (Human)	687	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:24349085, ECO:0000269|PubMed:29618516, ECO:0000269|PubMed:9575137}. Nucleus {ECO:0000269|PubMed:29618516, ECO:0000269|PubMed:9575137}. Chromosome {ECO:0000269|PubMed:9575137}. Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:12506096, ECO:0000269|PubMed:1683874}. Cell membrane {ECO:0000250|UniProtKB:Q9WVJ6}. Mitochondrion {ECO:0000269|PubMed:24349085}. Note=Mainly localizes to the cytosol (PubMed:9575137). Present at much lower level in the nucleus and chromatin (PubMed:9575137). Also secreted via a non-classical secretion pathway to the extracellular matrix (PubMed:27270573). {ECO:0000269|PubMed:9575137, ECO:0000303|PubMed:27270573}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm, perinuclear region {ECO:0000269|PubMed:17116873}.	chromatin [GO:0000785]; collagen-containing extracellular matrix [GO:0062023]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; focal adhesion [GO:0005925]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
P35625	P35625	reviewed	TIMP3_HUMAN	Metalloproteinase inhibitor 3 (Protein MIG-5) (Tissue inhibitor of metalloproteinases 3) (TIMP-3)	TIMP3	Homo sapiens (Human)	211	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.	basement membrane [GO:0005604]; collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; nucleus [GO:0005634]; platelet dense granule lumen [GO:0031089]
Q2QBA2	Q2QBA2	unreviewed	Q2QBA2_HUMAN	Tumor necrosis factor (Ligand) superfamily member 13 transcript variant delta (Tumor necrosis factor ligand superfamily member 13)	TNFSF13	Homo sapiens (Human)	223		extracellular space [GO:0005615]; membrane [GO:0016020]
A0A087X0H8	A0A087X0H8	unreviewed	A0A087X0H8_HUMAN	TSC22 domain family protein 1	TSC22D1	Homo sapiens (Human)	86		
P10599	P10599	reviewed	THIO_HUMAN	Thioredoxin (Trx) (ATL-derived factor) (ADF) (Surface-associated sulphydryl protein) (SASP) (allergen Hom s Trx)	TXN TRDX TRX TRX1	Homo sapiens (Human)	105	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11118054, ECO:0000269|PubMed:9108029}. Cytoplasm {ECO:0000269|PubMed:11118054, ECO:0000269|PubMed:9108029}. Secreted {ECO:0000269|PubMed:1332947}. Note=Translocates from the cytoplasm into the nucleus after phorbol 12-myristate 13-acetate induction (PMA) (PubMed:9108029). Predominantly in the cytoplasm in non irradiated cells (PubMed:11118054). Radiation induces translocation of TRX from the cytoplasm to the nucleus (PubMed:11118054). Secreted by a leaderless secretory pathway (PubMed:1332947). {ECO:0000269|PubMed:11118054, ECO:0000269|PubMed:1332947, ECO:0000269|PubMed:9108029}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
